id,title,description,label,label_text
19564,CHIRAC SEES STABLE FRENCH BUYING POWER IN 1987,"French buying power should remain stable this year despite lower economic growth, while investment will rise sharply, Prime Minister Jacques Chirac said. ""I think we will maintain our buying power... I do not think it will fall,"" Chirac told a radio interviewer yesterday. Last year French household buying power rose 2.9 pct. Chirac said economic growth would be substantially lower than originally forecast but investment would rise by close to 16 pct in the 1986 to 1988 period, reversing the 3.8 pct decline in the previous four-year period. REUTER",5,other
5064,GE <GE> GETS 474.5 MLN DLR CONTRACT,"General Electric Co has received a 474.5 mln dlr contract for 172 F-110-GE-100 fighter jet engines and 32 other jet engines, the Air Force said. REUTER",5,other
20478,ECOLAB INC 3RD QTR OPER SHR 16 CTS VS 34 CTS,,5,other
1220,BUTLER <BTLR> TO SELL PART OF UNIT,"Butler Manufacturing Co said it agreed in principal to sell part of its controls division to Enercon Data Corp of Minneapolis. Terms of the sale were not disclosed. The transaction, expected to be closed in March, involves the controls division's energy management and power line carrier product lines. Butler said costs associated with the sale were included in its restructuring charge taken in last year's fourth quarter, and will have no effect on its 1987 earnings. Reuter",1,acq
20005,ASIAN COCOA PRODUCERS EXPAND DESPITE CRITICS,"Asian cocoa producers are expanding output despite depressed world prices and they dismiss suggestions in the London market that their cocoa is inferior. ""Leading cocoa producers are trying to protect their market from our product,"" said a spokesman for Indonesia's directorate general of plantations. ""We're happy about our long-term future."" Malaysian growers said they would try to expand sales in Asia and the United States if Malaysian cocoa was not suitable for European tastes. They were responding to comments by London traders that large tonnages of unwanted cocoa beans from Malaysia, Indonesia and Papua New Guinea (PNG) were helping to depress cocoa prices. London traders said the Asian cocoa was considered unsuitable for western palates because of an acrid odour and a high level of free fatty acids. Ng Siew Kee, the chairman of Malaysia's Cocoa Growers' Council, said Malaysia should expand its sales to Asia and the United States if it did not produce a type suitable for Western Europe. A spokesman for the PNG Cocoa Industry Board said the London market was mistaken if it linked PNG cocoa with high-acid Malaysian and Indonesian beans. ""When the market is declining, buyers seize on anything to talk down prices,"" the spokesman said. He said that PNG could sell whatever cocoa it produces. PNG exported 33,000 tonnes of cocoa in the 1986/87 cocoa year ending September 30, of which nearly 50 pct was exported to West Germany, 16 pct to the U.S. And the rest to the Netherlands an",5,other
10464,"FED EXPECTED TO ADD RESERVES, ECONOMISTS SAY","The Federal Reserve is expected to enter the U.S. government securities market to add reserves today, economists said. They said the Fed would probably supply temporary reserves indirectly by arranging one to two billion dlrs of customer repurchase agreements. After averaging 6.21 pct yesterday, federal funds were opened at 6-1/8 pct and remained at that level. Reuter",5,other
17788,INTERNATIONAL CORONA <ICR.TO> 2ND QTR NET,"Period ended March 31 Oper shr profit four cts vs loss 17 cts Oper net profit 584,000 vs loss 2,165,000 Revs 7,493,000 vs not given SIX MTHS Oper shr profit eight cts vs loss 14 cts Oper net profit 1,177,000 vs loss 1,778,000 Revs 14.8 mln vs not given. reuter",0,earn
6882,SHULTZ SAYS U.S. PRODUCTS MUST BE COMPETITIVE,"Asked what the U.S. State Department's policy is on offering subsidized wheat to Moscow, Secretary of State George Shultz told a group of farm leaders that U.S. products must be competitive in the world market. ""If we are going to sell our products, whatever they may be, wheat or anything else, then we have to meet the market,"" Shultz told the board of directors for the National Association of Wheat Growers. ""We have to be competitive. It's ridiculous to say that somebody is going to buy your product if they can get the same thing at a lower price somewhere else. They just aren't,"" he said. ""That is our approach in the negotiations with the Soviets, and it must be our approach as we look at the American farm program and try to figure out what we should do to make it better,"" Shultz told the Wheat Growers. Schultz said that while he does not favor a situation that would allow the Soviet housewife to buy food cheaper than the American housewife, he realizes the importance of American agricultural products being competitively priced. Speculation has been in the market for some time that the United States is considering offering wheat to the Soviet Union at subsidized prices. Soviet officials have said they would buy U.S. wheat if it were competitively priced. Agriculture Department officials have declined to take any official position on the issue. Reuter",5,other
1219,"FRUIT OF THE LOOM OFFERS DEBENTURES, NOTES",Fruit of the Loom Inc said it is offering 60 mln dlrs of 6-3/4 pct convertible subordinated debentures due March 2002 and 250 mln dlrs of 10-3/4 pct senior subordinated notes due July 1995. Both issues are priced at par. The convertible debentures may be exchanged for class A common stock at the holder's option at 11.25 dlrs. Drexel Burnham Lambert Inc is lead manager for both offerings. The convertible debentures are rated B-3 by Moody's Investors Service Inc and CCC-plus by Standard and Poor's Corp. The notes are rates B-2 by Moody's and CCC-plus by S/P. Reuter,5,other
1093,SYRIA SAYS ISRAEL BLOCKS CITRUS EXPORT FROM GAZA,"Syria has complained to the United Nations that Israeli occupation authorities were blocking the export of citrus fruit from the Gaza Strip to the countries of the European Community, EC. In a letter to Secretary General Javier Perez de Cuellar, published here today, Syrian U.N. charge d'affaires Abdul Mou'men Al-Atassi said: ""These measures threaten to create a slump in citrus production, which constitutes the primary source of income in the Gaza Strip....They are causing heavy losses to farmers and all those working in the field of citrus production and threaten to bring about economic disaster."" The Syrian envoy said the Israel action was a violation of the Geneva Conventions, the U.N. Charter and the ""legitimacy of the economic rights endorsed by the United Nations."" The Gaza Strip, occupied by Egypt in the 1948 Arab-Israel war, was captured by Israel in the 1967 Middle East war. Reuter",5,other
10956,FRENCH 1986/87 SOFT WHEAT EXPORTS FALL,"Exports of French soft wheat for the period July 1, 1986, to March 1, 1987, fell 27.6 pct to 8.21 mln tonnes from 11.34 mln tonnes in the same 1985/86 period, the national cereals office ONIC said quoting customs figures. Of this total, exports to non-EC countries totalled 3.76 mln tonnes, 34 pct down on 5.70 mln, and exports to EC nations 4.45 mln tonnes, 21.1 pct down on a previous 5.64 mln. Main EC destinations were Italy with two mln tonnes versus 1.9 mln, Belgium 500,000 tonnes (one mln), Netherlands 500,000 (600,000), West Germany 500,000 (800,000), Spain 300,000 (zero), Britain 300,000 (700,000), Greece 200,000 (300,000), and Ireland 100,000 (200,000). In flour, exports totalled 980,000 tonnes, up 6.5 pct on a previous 920,000 tonnes. Exports of maize totalled 4.11 mln tonnes, 37.4 pct up on a previous 2.99 mln. Exports to non-EC countries were 190,000 tonnes against 140,000 and to EC countries 3.92 mln tonnes against 2.84 mln. Main EC desinations were Netherlands 900,000 (600,000), Belgium 800,000 (one mln), Britain 700,000 (500,000), West Germany 400,000 (same), Italy 300,000 (200,000) and Greece 300,000 (zero). Reuter",5,other
6733,DEL-VAL FINANCIAL CORP <DVL> SETS PAYOUT,Mthly div 14-1/2 cts vs 14-1/2 cts prior Pay July One Record June 17 Reuter,0,earn
6696,<ALTEX RESOURCES LTD> YEAR NET,"Shr six cts vs eight cts Net 643,000 vs 889,000 Revs 3,934,000 vs 4,373,000 Reuter",0,earn
6198,PUBLIC SERVICE ENTERPRISE <PEG> TWO MTHS NET,Periods ended February 28 Shr 89 cts vs 87 cts Net 119.5 mln vs 114.6 mln Revs 872.3 mln vs 917.4 mln Avg shrs 134.9 mln vs 131.7 mln 12 mths Shr 2.87 dlrs vs 3.32 dlrs Net 383.4 mln vs 413.5 mln Revs 4.5 billion vs 4.4 billion Avg shrs 133.7 mln vs 124.7 mln NOTES: Year ago results restated to reflect application of new accounting for disallowances Full name is Public Service Enterprise Group Inc Reuter,0,earn
15930,JAMES RIVER CORP <JR> SETS REGULAR DIVIDEND,Qtly div 10 cts vs 10 cts prior Pay April 30 Record April 21 Reuter,0,earn
9742,BP UNITS SEEK FIVE BILLION DLR REVOLVING CREDIT,"BP International and BP North America are seeking a five billion dlr, four year syndicated credit facility in support of British Petroleum Co Plc's tender offer for the 45 pct of Standard Oil Co it does not already own, Morgan Guaranty Trust Co of New York said as arranger. The facility, to be guaranteed by British Petroleum Co Plc <BP.L> is probably the largest credit facility ever arranged in Europe, bond analysts said. Full terms will be announced either later today or tomorrow morning. BP said earlier it planned a tender offer for the 45 pct of Standard it does not already own for 70 dlrs a share cash. The financing being arranged by Morgan Guaranty will take the form of a fully committed revolving credit. As announced earlier, BP also is arranging a U.S. Commercial paper program in connection with the tender and part of the revolver will be used to support that program. The exact size of the U.S. Program has not been decided and the dealers have not yet been chosen. The credit facility will also allow the borrower to issue cash advances with maturities of one, three or six months through a tender panel, which will be comprised of banks committed to the facility. Despite the unprecedented size of this euromarket facility, Morgan Guaranty said that it was being syndicated only among BP's relationship banks. As a result, banks were being offered lead manager status at 200 mln dlrs, co-lead management at 125 mln and manager at 75 mln. Although pricing on many credit faciliti",1,acq
7143,MADAGASCAR COFFEE PRODUCTION SEEN LOWER IN 1987,"Madagascar's available coffee output is estimated at 80,725 tonnes this year, down from 82,210 in 1986, due to a rundown of government agricultural services and the poor state of feeder roads in rural areas, Agriculture Ministry sources said. This is after accounting for the loss of some 15,000 to 20,000 tonnes due to the transport problems in the countryside, they said. The sources did not give an estimate for exports in 1987, but they noted that shipments declined to 37,200 tonnes last year from 41,662 in 1985. Low yields from the country's ageing coffee plantations and prevalence of the fungal disease Hemileia Vastatrix also contributed to the poor performance, the sources said. They pointed out that 52 pct of Madagascar's coffee bushes were planted before 1930. The sources said Madagascar was still a long way from reaching the production target of 110,000 tonnes per year and the export target of 63,000 tonnes outlined in the government's 1986-1990 five-year plan. In order to reverse the decline in coffee production, the government has decided to plant 20,000 hectares with high-yielding arabica and canephora varieties, the sources said. The planting programme will begin this year and is aimed at producing 300 to 360 kilos per hectare of beans with a low caffeine content. The sources added that Madagascar's plan to export roasted coffee has failed to take off due to packaging problems. Only 650 tonnes of roasted coffee were exported last year. Reuter",5,other
