id,title,description,label,label_earn
11687,P.C. QUOTE INC <PCQT> YEAR LOSS,"Shr loss 30 cts vs loss 44 cts Net loss 1,135,805 vs loss 1,461,792 Sales 3,398,893 vs 2,075,260 Reuter",1,1
9410,REICHHOLD <RCI> EXPLORING SALE OF EUROPEAN UNIT,"Reichhold Chemicals Inc said it is exploring the sale of its stake in its European subsidiary Reichhold Chemie AG. Reichhold Chemie Ag, headquartered in Rausen, Switzerland, had sales in excess of 75 mln dlrs last year. It is 83 pct owned by Reichhold. The rest is owned by German and Swiss shareholders. Reichhold said it is seeking the sale to focus on its adhesives business. Reuter",0,0
1670,NRM ENERGY <NRM> SECURITIES RAISED BY MOODY'S,Moody's Investors Service Inc said it upgraded the ratings on NRM Energy Co's senior cumulative preferred depository units to B-3 from CAA. The rating agency also assigned a B-3 rating to the partnership's proposed issue of cumulative convertible acquisition preferred units Series A. Moody's actions affect 188 mln dlrs of securities. The rating agency said these moves reflect the potential benefits to be derived from the exchange of NRM common and preferred units for certain properties of Mesa Limited Partnership which make Mesa NRM's biggest unitholder. Reuter,0,0
2687,SUN ELECTRIC CORP <SE> 1ST QTR JAN 31 NET,"Shr profit 15 cts vs loss six cts Net profit 1,051,000 vs loss 381,000 Revs 50.8 mln vs 41.8 mln Avg shrs 7,033,00 vs 6,557,000 NOTE: 1987 net includes tax credits equal to six cts vs one cent in 1986. Reuter",1,1
7541,KOMATSU LTD <KOMT.T> YEAR 1986,Group shr 17.68 yen vs 26.49 Net 14.70 billion vs 21.92 billion Pretax 35.76 billion vs 48.85 billion Operating 32.88 billion vs 51.90 billion Sales 788.73 billion vs 796.24 billion NOTE - Company forecast for current year is group net 15.50 billion on sales of 800 billion. REUTER,1,1
12385,HUGHES <GMH> ELECTS CHAIRMAN,"General Motors Corp's Hughes Aircraft Co said it named Albert Wheelon as chairman and chief executive officer, succeeding Allen Puckett who retired after more than 38 years with the company. Wheelon has served in key management positions at Hughes since joining in 1966. Reuter",0,0
551,OSR <OSRC> TO MAKE ACQUISITION,"OSR Corp said it has agreed to acquire the properties and assets of Telcom International Group for 10.5 mln common shares, which would give former Telcom owners an 84 pct interest in the combined company. Telcom is an international film and television distributor. The assets being acquired consist mostly of distribution rights to films valued at over one mln dlrs, the company said. OSR said as part of the acquisition agreement is is required to sell its 80 pct interest in Standard Knickerbocker Ltd, which makes jeans in Canada. OSR said it expects to net about 150,000 dlrs on the sale of Standard Knickerbocker. The company said both transactions are subject to approval by shareholders at a meeting to be held in April or May, it said. Reuter",0,0
7369,ATT AMERICAUS TRUST 2 <ATU> CLOSES EARLY,"Americus Trust for American Telephone and Telegraph Co Shares, Series 2, said it has reached its limit of 10 mln ATT <T> shares and has closed. The trust was scheduled to close April One. Common stock tendered into an Americus trust is converted into trust units on a one share for one unit basis. Each unit may be divided into separately-traded PRIME and SCORE components. Reuter",0,0
5622,"CME, CBOE TO LAUNCH INTERNATIONAL STOCK INDEX","The Chicago Mercantile Exchange, CME, and the Chicago Board Options Exchange, CBOE, announced today that they will trade futures and options, respectively, on an index of international securities compiled by Morgan Stanley Group Inc. Morgan Stanley said it has agreed to license the exchanges to use the Morgan Stanley Capital International Europe, Australia and Far East, or EAFE, stock index as the trading basis. The EAFE index is comprised of 900 international stocks from 16 nations in Europe, the Far East, and Australia. ""The EAFE is the only instrument by which world markets are measured,"" CME special counsel Leo Melamed said at a news conference announcing the agreement. CME Chairman Jack Sandner noted that one-third of the exchange's daily trading volume now derives from overseas. ""The success of our index markets, particularly the S and P index, is ample precedent to forging ahead"" in international markets, he said. Mark Sladkus, publisher of Morgan Stanley Capital International Perspective, said Japanese bank stocks represent the largest portion of the index. The officials said the exchanges have not yet submitted the EAFE index to the Securities and Exchange Commission and the Commodities Futures Trading Commission for approval. However, Melamed said approval is not expected to be granted quickly, and the exchanges did not set a starting date for the new contracts. The EAFE index is tabulated daily, but Sladkus said real-time calculation will be introduced when trading",0,0
7839,FTC EASES ALLIED-SIGNAL <ALD> UNIT RESTRICTIONS,"The Federal Trade Commission said it eased a requirement that Allied-Signal Inc's Allied Corp subsidiary get prior FTC approval before making certain acquisitions in the high-purity acid market. The FTC said it ended the prior approval requirement because Allied no longer has businesses covered by the order. Other restrictions still apply, it said. The restrcitions stem from a 1983 order by the FTC settling charges that Allied's 1981 acquisition of Fisher Scientific Co reduced competition in three high-purity acid markets. Reuter",0,0
14389,"IOWA GRAIN ELEVATOR EXPLODES, BURNS","An explosion and fire today damaged a grain elevator in Bancroft, Iowa, destroying thousands of bushels of grain, authorities said. The pre-dawn explosion ripped the wooden elevator open, and a fire that followed continued burning at late morning but had been contained, according to a dispatcher at the Algona Police Department. No injuries were reported at the Lone Rock Coop facility. The dispatcher said the elevator was filled with corn, and a nearby drying building holding soybeans was on fire. The explosion was the second in four days in Iowa following the destruction of an Archer Daniels Midland elevator in Burlington last Friday. Reuter",0,0
2198,"CHRYSLER <C> SETS STOCK SPLIT, HIGHER DIVIDEND","Chrysler Corp said its board declared a three-for-two stock split in the form of a 50 pct stock dividend and raised the quarterly dividend by seven pct. The company said the dividend was raised to 37.5 cts a share from 35 cts on a pre-split basis, equal to a 25 ct dividend on a post-split basis. Chrysler said the stock dividend is payable April 13 to holders of record March 23 while the cash dividend is payable April 15 to holders of record March 23. It said cash will be paid in lieu of fractional shares. With the split, Chrysler said 13.2 mln shares remain to be purchased in its stock repurchase program that began in late 1984. That program now has a target of 56.3 mln shares with the latest stock split. Chrysler said in a statement the actions ""reflect not only our outstanding performance over the past few years but also our optimism about the company's future."" reuter",1,1
3428,TEXAS AIR <TEX> UNIT TO ADD MEXICO FLIGHTS,"Texas Air Corp's Continental Airlines unit said it will begin service to Mexico from Atlanta in May. Continental said it will add non-stop flights to Mexico City, Puerto Vallarta, Cancun, Acapulco and Ixtapa. Reuter",0,0
1828,PAN AM WORLD AIRWAYS TO CUT MANAGEMENT COSTS BY ABOUT 180 MLN DLRS ANNUALLY,,0,0
6928,GENCORP <GY> BIDDER PLANS SALE OF AEROSPACE UNIT,"<General Partners>, controlled by privately-held Wagner and Brown and by AFG Industries Inc, said plans to sell GenCorp Inc's aerospace and soft drink bottling divisions if it succeeds in acquiring the company. In a filing with the Securities and Exchange Commission, General Partners said proceeds from the sale of GenCorp's aerospace division would help it repay some of the debt it would incur in the 100 dlr a share cash tender offer. General Partners, which launched the surprise tender offer today, said it already 2,180,608 shares of GenCorp, or 9.4 pct of the total outstanding common stock. General Partners, which estimated the total cost of the takeover at 2.5 billion dlrs, also said it plans to continue GenCorp's policy of trying to settle Federal Communications Commission charges against two of its television and 12 radio station licenses. It said it would also continue GenCorp's policy of trying to sell its New York-area television station WOR to MCA Inc <MCA> for 387 mln dlrs and its Los Angeles station KHJ to Walt Disney Co <DIS> for 217 mln dlrs. But General Partners said it plans to keep GenCorp's headquarter in Akron, Ohio. General Partners also said it would maintain GenCorp's plastics and industrial products division as well as tires and related products. But it left open that it might make other changes in GenCorp's operations after it completes the merger. Besides using 250 mln dlrs of its own equity for the tender offer, General Partners said it would seek one",0,0
13118,JACK WINTER INC <JWI> 4TH QTR JAN 3 LOSS,"Shr loss 67 cts vs loss seven cts Net loss 2,410,000 vs loss 245,000 Revs 11.0 mln vs 10.9 mln 12 mths Shr loss 21 cts vs profit 43 cts Net loss 748,000 vs profit 1,571,000 Revs 46.9 mln vs 40.5 mln Reuter",1,1
5612,NYSE TO REPORT IMBALANCES ON EXPIRATION FRIDAY,"The New York Stock Exchange said it will cooperate with the Securities and Exchange Commission by disclosing imbalances in market-on-close orders in 50 major stocks thirty minutes prior to the close of trading Friday. The procedure will be followed this Friday when stock index futures and options and individual stock options expire simultaneously. Such triple expirations occur four times a year and in the past have been associated with big swings in stock market averages. In a new variation of the disclosure rules, the NYSE said no market-on-close orders related to index arbitrage can be entered after 1530 EST. The NYSE said all market-on-close orders for 50 big capitalization stocks, including the 30 components of the Dow Jones Industrial Average, must be entered by 1530 EST Friday. The NYSE will then furnish to financial news services any imbalance in market-on-close orders of 10,000 shares or more. After 1530 EST market-on-close orders in the 50 stocks can be entered only on the opposite side of the imbalance. But the bar on entering market-on-close orders related to index arbitrage after 1530 EST is a new element of the disclosure plan, which has the goal of making the market less volatile during the triple expirations. Reuter",0,0
8785,PNEUMATIC SCALE CO <PNU> SETS QUARTERLY,Qtly div 25 cts vs 25 cts prior Pay May 4 Record April 20 Reuter,1,1
3457,NISSAN TO BOOST LOCAL CONTENT IN U.K. CARS,"<Nissan Motor Manufacturing (UK) Ltd> has reached agreement with <Lombard North Central Plc> of the U.K. To build plants and boost the local content in Nissan's U.K. Produced cars to 60 pct in 1988 from 40 to 50 pct, the Nissan Motor Co Ltd <NSAN.T> said. The agreement will allow the cars to be designated as domestically manufactured rather than imported vehicles, Nissan said. The agreement was reached through negotiations with the British government and the European Community (EC) after they threatened to impose duties on imports. According to the 230 mln stg contract, Lombard North Central, an affiliate of National Westminster Bank Plc <NWBL.L>, will build and lease plants for engine assembly, body panel pressing and resin moulding by 1988. They will be near the existing Nissan plant in Sunderland in north-east England, Nissan said. The Sunderland plant currently produces 24,000 Bluebird cars annually for the British market. Nissan hopes to begin U.K. Exports to Europe in 1991 after building an engine machining plant which would boost output to 100,000 units a year and local content to above 80 pct, in accordance with EC requests, the spokesman said. REUTER",0,0
8368,"CHARTER FEDERAL, JEFFERSON SAVINGS AGREE TO MERGE",,0,0
2464,WESTINGHOUSE ELECTRIC CORP <WX> MOVING UNIT,"Westinghouse Electric Corp said it is moving its Unimation operations from Danbury, Conn, to other existing Westinghouse facilities, affecting approximately 210 employees. The engineering, product integration, administration and final assembly functions will be moved to the Westinghouse automation division headquarters at O'Hara Township, near Pittsburgh, the company said. The manufacturing of Unimation controls is being consolidated in existing automation division manufacturing facilities, the company said. The moves are scheduled to be completed by the third quarter of this year, Westinghouse said, and said they are part of its plan to increase competitiveness in the factory automation market. Reuter",0,0
2541,WORLD BANK PRESIDENT EXPECTS BRAZILIAN DEBT PLAN,"World Bank President Barber Conable said he was confident Brazil would come up with a debt plan and that the current suspension on commercial bank debt payments would be temporary. He said Brazil's decision to stop payments on its debt had captured the attention of the international community but the country should now produce a plan to reform its overheated economy. ""They have everyone's attention but it must be followed by a constructive plan,"" he said. Conable made his remarks before a group of commercial bankers at a meeting sponsored by the Export-Import Bank and later informally to reporters. Reuter",0,0
13876,"PYRAMID TECHNOLOGY <PYRD>, ORACLE <ORCL> IN DEAL",Pyramid Technology Corp said it has reached an agreement to sell Oracle Corp's Oracle database and <Relational Technology Inc's> Ingres database through the Pyramid direct sales force and to original equipment manufactures and value-added resellers. The company said it will also develop separate joint engineering projects with Oracle and Relational to tailor the two databases to use Pyramid's functional parallel system architecture to imporove database performance. It said it has also reached an agreement for <Information Builders'> Focus language and database management system to become available on Pyramid Technology superminicomputer systems. Reuter,0,0
8872,AMC MID-MARCH U.S. CAR SALES OFF 62 PCT,"American Motors Corp said U.S. car sales for the March 11 to 20 period dropped 62 pct to 790 from 2,100 cars in the same period a year ago. There were nine selling days in both years. Domestic sales for March 1 through 20 declined 60 pct to 1,550 cars from 3,880 cars in the comparable period of 1986, American Motors said. For the calendar year-to-date, American Motors said domestic car sales decreased 61 pct to 6,472 from 16,741 cars last year. American Motors is 46 pct owned by Renault. Reuter",0,0
107,IRAN ANNOUNCES END OF MAJOR OFFENSIVE IN GULF WAR,"Iran announced tonight that its major offensive against Iraq in the Gulf war had ended after dealing savage blows against the Baghdad government. The Iranian news agency IRNA, in a report received in London, said the operation code-named Karbala-5 launched into Iraq on January 9 was now over. It quoted a joint statewment by the Iranian Army and Revolutionary Guards Corps as saying that their forces had ""dealt one of the severest blows on the Iraqi war machine in the history of the Iraq-imposed war."" The statement by the Iranian High Command appeared to herald the close of an assault on the port city of Basra in southern Iraq. ""The operation was launched at a time when the Baghdad government was spreading extensive propaganda on the resistance power of its army...,"" said the statement quoted by IRNA. It claimed massive victories in the seven-week offensive and called on supporters of Baghdad to ""come to their senses"" and discontinue support for what it called the tottering regime in Iraq. Iran said its forces had ""liberated"" 155 square kilometers of enemy-occupied territory during the 1987 offensive and taken over islands, townships, rivers and part of a road leading into Basra. The Iranian forces ""are in full control of these areas,"" the statement said. It said 81 Iraqi brigades and battalions were totally destroyed, along with 700 tanks and 1,500 other vehicles. The victory list also included 80 warplanes downed, 250 anti- aircraft guns and 400 pieces of military hardware de",0,0
7274,BOBBIE BROOKS <BBKS> IN RIGHTS PLAN,"Bobbie Brooks Inc said its board approved a defensive common stock purchase rights plan. Under the plan, shareholders will receive one common shares purchase right March 31 on each outstanding share of record on that date. Each right entitles shareholders to buy one share of common stock at an exercise price of 4.50 dlrs. The rights are exercisable only if a person acquires 20 pct or more of the company's common stock. Bobbie Brooks said the rights are not being distributed in response to any specific takeover effort. Reuter",0,0
12566,AETNA LIFE/CASUALTY <AET> FILES TO OFFER NOTES,"Aetna Life and Casualty Co said it filed a shelf registration with the Securities and Exchange Commission for the issue of 200 mln dlrs of debt securities. Managers of the offering have not been selected. Terms of the securities will be based on market conditions, the company said. Proceeds will be added to general funds and used to support Aetna's basic insurance and financial services businesses. Reuter",0,0
2410,PITT-DES MOINES INC <PDM> TO ACQUIRE STEEL UNIT,Pitt-Des Moines Inc said it will acquire <Chicago Steel Corp> in exchange for a portion of its stock. Reuter,0,0
7294,CYTOGEN <CYTO> TO EXPAND IMAGING TESTS,Cytogen Corp said its will expand clinical trials of its cancer imaging technology. It said the new studies were anticipated to begin by mid year. It said the first phase of human testing begain in October. The technology uses a monocloncal antibody tagged with a radioisotope to diagnose colorectal cancer and several other cancer types. It said preliminary studies revealed the antibody combination was well tolerated in the patients studied. Reuter,0,0
12867,DIGITAL COMMUNICATIONS <DCAI> SEES LITTLE IMPACT,"Digital Communications Associates said the new personal computers announced yesterday by International Business Machines Corp <IBM> are expected to have little near-term effect on Digital Communications. The company said some product modifications will be required, but they appear to be straight forward and do not represent major development challenges. The company said it will pursue two prime areas -- the configuration of its products for use with Mocrosoft Corp's <MSFT> new operating system which has been adopted for use in the IBM products, and changes requried by the use of a new bus architecture in certain IBM products. Reuter",0,0
11571,BIC CORP <BIC> SETS QUARTERLY,Qtly div 15 cts vs 15 cts prior Pay April 30 Record April 14 Reuter,1,1
9060,U.S. SENATORS SEEK TO EXPAND USDA EXPORT BONUS,"Leading U.S. farm state senators are seeking to insert into the Senate's omnibus trade bill a provision that would broaden eligibility requirements under the U.S. Agriculture Department's export enhancement program, EEP, to include traditional buyers of U.S. farm products, including the Soviet Union, Senate staff said. Under existing criteria, USDA can offer EEP subsidies to recoup export markets lost to competing nations' unfair trading practices. Senate Agriculture Committee Chairman Patrick Leahy (D-Vt.) is leading a group of farm state senators in an effort to broaden the criteria in such a way as to enable Moscow to be eligible for the subsidies, sources said. The senators -- including Senate Finance Committee Chairman Lloyd Bentsen (D-Tex.), Max Baucus (D-Mont.), David Pryor (D-Ark.), John Melcher (D-Mont.) and Thad Cochran (R-Miss.) -- also may fold into the trade bill a measure to shield pork producers and processors from Canadian imports. The measure, sponsored by Sen. Charles Grassley (R-Iowa), would clarify the definition of ""industry"" in determining whether or not imports were causing injury to U.S. producers. Grassley's bill stems from a 1985 decision by the International Trade Commission that imports from Canada of live swine -- but not fresh, chilled and frozen pork -- were harming U.S. producers. The bill's proponents have argued Canada has simply replaced shipments of live hogs with fresh pork. Reuter",0,0
5045,TEXAS AIR <TEX> NAMES BRITT AIRWAYS PRESIDENT,"Texas Air Corp said it named Norman McInnis as president of its Britt Airways unit, succeeding Bill Britt, who retired March one. McInnis, former president of Royale Airlines, most recently was a consultant to the commuter airline industry. Reuter",0,0
188,ROHR INDUSTRIES <RHR> SETTLES STRIKE,"Rohr Industries Inc said it has agreed on a three-year labor contract with the International Association of Machinists and Aerospace Workders, ending a strike that began ten days ago. Under the pact, 4,600 union members at Rohr's Chula Vista and Riverside plants will receive lump sum payments of ten pct, six pct and six pct annually, with the first payment going out in April. Rohr will also increase the pension benefit to 24 dlrs per month for each eligible year of service. Reuter",0,0
10488,DEERE DISCONTINUES NEGOTIATIONS WITH GENERAL MOTORS ON DIESEL JOINT VENTURE,,0,0
9917,NOVA <NOVX> TO GET BRADYKININ ANTAGONIST PATENT,"Nova Pharmaceutical Corp said the U.S. Patent Office has allowed its patent for bradykinin antagonist drugs. Nova said patents have also been filed in other countries worldwide. It said it has the exclusive worldwide rights to these patents for the first bradykinin blocking drugs being developed as topical pain relievers and in nasal spry form for treating common cold symptoms. Nova said Bradykinin is the most powerful paing-producing substance in the body and is considered, based on scientific evidence, to be the initial stimulus of pain. Reuter",0,0
1944,BANK OF COMMUNICATIONS PLANS 200 MLN H.K. DLR CD,"The Chinese state-owned Bank of Communications Ltd Hong Kong branch is planning a 200 mln H.K. Dlr certificate of deposit issue, banking sources said. They said the five year issue, which matures March 23, 1992, carries a 7.05 pct coupon payable quarterly. Management fee is 10 basis points. Payment date is March 23. China Development Finance Co (H.K.) Ltd, a Bank of China unit, is lead manager of the issue. A group is now being formed. REUTER",0,0
6224,CHAMPION HOME <CHB> SETS UP UNIT,"Champion Home Builders Co, as part of a previously announced reorganization, said it set up a subsidiary to handle two of its operations. The company transferred its recreational vehicle and commercial bus manufacturing operations to a new, wholly owned subsidiary, Champion Motor Coach Inc. Total sales from the three manufacturing plants comprising the new unit totaled 50 mln dlrs for the fiscal year ended February 27. Champion Home previously said it was reorganizing its business units into a new holding company structure. The holding company will be called Champion Enterprises Inc, subject to shareholder approval at the company's late June annual meeting. Reuter",0,0
10011,CANADA OIL EXPORTS RISE 20 PCT IN 1986,"Canadian oil exports rose 20 pct in 1986 over the previous year to 33.96 mln cubic meters, while oil imports soared 25.2 pct to 20.58 mln cubic meters, Statistics Canada said. Production, meanwhile, was unchanged from the previous year at 91.09 mln cubic feet. Natural gas exports plunged 19.4 pct to 21.09 billion cubic meters, while Canadian sales slipped 4.1 pct to 48.09 billion cubic meters. The federal agency said that in December oil production fell 4.0 pct to 7.73 mln cubic meters, while exports rose 5.2 pct to 2.84 mln cubic meters and imports rose 12.3 pct to 2.1 mln cubic meters. Natural gas exports fell 16.3 pct in the month 2.51 billion cubic meters and Canadian sales eased 10.2 pct to 5.25 billion cubic meters. Reuter",0,0
9509,BELGIUM PLANS TO OUTLAW INSIDER TRADING,"A Belgian finance ministry spokesman said new rules planned on insider trading would enable offenders to be fined and imprisoned for up to a year, and be compelled to forfeit gains. The new rules require parliamentary approval, and government sources said it was unclear when they would come into force. Insider trading is currently not an offence in this country. The cabinet approved a separate bill that analysts said includes provisions to make more difficult the build-up of major new stakes in Belgian companies. The bill would make obligatory the declaration of major stakes in companies quoted on the bourse with own resources of more than 200 mln francs. The Minister for Economic Affairs would need to be informed in advance of deals under which foreign interests planned to buy a new stake of more than ten pct of the voting shares in a large Belgian company, or to increase an existing stake to more than 20 pct. REUTER",0,0
8927,SHOWBOAT <SBO> PLAY MONEY OPENING DELAYED,"Showboat Inc said the play money opening of gambling at its Atlantic City, N.J., Showboat Hotel, Casino and Bowling Center has been delayed pending the receipt of regulatory approvals. Gambling with play money was to have started tomorrow. A company spokesman said Showboat must still receive its certificate of occupancy, after which the New Jersey Casino Control Commission needs about 48 hours to set up for the trial-run gambling. After the trial run, Showboat is required by commission regulations to run at least one day of low-limit betting. The spokesman said, however, that Showboat still expects to start normal gaming operations on April 3 as scheduled. Reuter",0,0
5673,"BANNER ""A"" STOCK <BNR> EXCHANGED FOR ""B"" SHARES","Banner Industries Inc said 2,204,832 shares of its Class A common were tendered for exchange into Class B common in response to an offer which expired February 27. The company pointed out its Class A common is traded on the currently listed on any securities exchange. The company has over 4.6 mln shares outstanding. Reuter",0,0
5714,VULCAN PACKAGING <VIPLF> SETS ISSUER BID,"Vulcan Packaging Inc said it received regulatory approval for a normal course issuer bid, allowing the company to acquire for cancellation up to five pct of outstanding common shares on the Toronto Stock Exchange between April 24, 1987 and April 23, 1988. Reuter",0,0
